Date,City,State,Price
1987-01-01,Phoenix,AZ,
1987-01-01,Los Angeles,CA,59.33
1987-01-01,San Diego,CA,54.67
1987-01-01,San Francisco,CA,46.61
1987-01-01,Denver,CO,50.2
1987-01-01,Washington,DC,64.11
1987-01-01,Miami,FL,68.5
1987-01-01,Tampa,FL,77.33
1987-01-01,Atlanta,GA,
1987-01-01,Chicago,IL,53.55
1987-01-01,Boston,MA,70.04
1987-01-01,Detroit,MI,
1987-01-01,Minneapolis,MN,
1987-01-01,Charlotte,NC,63.39
1987-01-01,Las Vegas,NV,66.36
1987-01-01,New York,NY,74.42
1987-01-01,Cleveland,OH,53.53
1987-01-01,Portland,OR,41.05
1987-01-01,Dallas,TX,
1987-01-01,Seattle,WA,
1987-01-01,10,Composite,62.82
1987-01-01,20,Composite,
1987-01-01,US,National,63.75
1987-02-01,Phoenix,AZ,
1987-02-01,Los Angeles,CA,59.65
1987-02-01,San Diego,CA,54.89
1987-02-01,San Francisco,CA,46.87
1987-02-01,Denver,CO,49.96
1987-02-01,Washington,DC,64.77
1987-02-01,Miami,FL,68.76
1987-02-01,Tampa,FL,77.93
1987-02-01,Atlanta,GA,
1987-02-01,Chicago,IL,54.64
1987-02-01,Boston,MA,70.08
1987-02-01,Detroit,MI,
1987-02-01,Minneapolis,MN,
1987-02-01,Charlotte,NC,63.94
1987-02-01,Las Vegas,NV,67.03
1987-02-01,New York,NY,75.43
1987-02-01,Cleveland,OH,53.5
1987-02-01,Portland,OR,41.28
1987-02-01,Dallas,TX,
1987-02-01,Seattle,WA,
1987-02-01,10,Composite,63.39
1987-02-01,20,Composite,
1987-02-01,US,National,64.15
1987-03-01,Phoenix,AZ,
1987-03-01,Los Angeles,CA,59.99
1987-03-01,San Diego,CA,55.16
1987-03-01,San Francisco,CA,47.32
1987-03-01,Denver,CO,50.15
1987-03-01,Washington,DC,65.71
1987-03-01,Miami,FL,69.23
1987-03-01,Tampa,FL,77.76
1987-03-01,Atlanta,GA,
1987-03-01,Chicago,IL,54.8
1987-03-01,Boston,MA,70.0
1987-03-01,Detroit,MI,
1987-03-01,Minneapolis,MN,
1987-03-01,Charlotte,NC,64.17
1987-03-01,Las Vegas,NV,67.34
1987-03-01,New York,NY,76.25
1987-03-01,Cleveland,OH,53.68
1987-03-01,Portland,OR,41.06
1987-03-01,Dallas,TX,
1987-03-01,Seattle,WA,
1987-03-01,10,Composite,63.87
1987-03-01,20,Composite,
1987-03-01,US,National,64.49
1987-04-01,Phoenix,AZ,
1987-04-01,Los Angeles,CA,60.81
1987-04-01,San Diego,CA,55.85
1987-04-01,San Francisco,CA,47.69
1987-04-01,Denver,CO,50.55
1987-04-01,Washington,DC,66.4
1987-04-01,Miami,FL,69.2
1987-04-01,Tampa,FL,77.56
1987-04-01,Atlanta,GA,
1987-04-01,Chicago,IL,54.88
1987-04-01,Boston,MA,70.7
1987-04-01,Detroit,MI,
1987-04-01,Minneapolis,MN,
1987-04-01,Charlotte,NC,64.81
1987-04-01,Las Vegas,NV,67.88
1987-04-01,New York,NY,77.34
1987-04-01,Cleveland,OH,53.75
1987-04-01,Portland,OR,40.96
1987-04-01,Dallas,TX,
1987-04-01,Seattle,WA,
1987-04-01,10,Composite,64.57
1987-04-01,20,Composite,
1987-04-01,US,National,64.99
1987-05-01,Phoenix,AZ,
1987-05-01,Los Angeles,CA,61.67
1987-05-01,San Diego,CA,56.35
1987-05-01,San Francisco,CA,48.31
1987-05-01,Denver,CO,50.63
1987-05-01,Washington,DC,67.27
1987-05-01,Miami,FL,69.46
1987-05-01,Tampa,FL,77.85
1987-05-01,Atlanta,GA,
1987-05-01,Chicago,IL,55.43
1987-05-01,Boston,MA,71.51
1987-05-01,Detroit,MI,
1987-05-01,Minneapolis,MN,
1987-05-01,Charlotte,NC,65.18
1987-05-01,Las Vegas,NV,67.9
1987-05-01,New York,NY,79.16
1987-05-01,Cleveland,OH,54.71
1987-05-01,Portland,OR,41.24
1987-05-01,Dallas,TX,
1987-05-01,Seattle,WA,
1987-05-01,10,Composite,65.56
1987-05-01,20,Composite,
1987-05-01,US,National,65.57
1987-06-01,Phoenix,AZ,
1987-06-01,Los Angeles,CA,62.71
1987-06-01,San Diego,CA,56.86
1987-06-01,San Francisco,CA,48.83
1987-06-01,Denver,CO,50.5
1987-06-01,Washington,DC,68.7
1987-06-01,Miami,FL,69.31
1987-06-01,Tampa,FL,78.71
1987-06-01,Atlanta,GA,
1987-06-01,Chicago,IL,56.39
1987-06-01,Boston,MA,72.32
1987-06-01,Detroit,MI,
1987-06-01,Minneapolis,MN,
1987-06-01,Charlotte,NC,65.55
1987-06-01,Las Vegas,NV,66.48
1987-06-01,New York,NY,80.84
1987-06-01,Cleveland,OH,55.12
1987-06-01,Portland,OR,41.45
1987-06-01,Dallas,TX,
1987-06-01,Seattle,WA,
