year,title,genre,avg_vote,movie_category,duration,length_category
2013,Return to Babylon,"Biography, Comedy, Drama",5.8,Average,75,Avg. Length Film
2013,The Secret Life of Walter Mitty,"Comedy, Drama, Fantasy",7.3,Excellent,114,Avg. Length Film
2013,In Secret,"Crime, Drama, Thriller",6.1,Average,107,Avg. Length Film
2013,42,"Biography, Drama, Sport",7.5,Excellent,128,No Data
2013,The Devil You Know,"Mystery, Thriller",3.3,Average,76,Avg. Length Film
2013,Alan Partridge: Alpha Papa,"Action, Comedy, Crime",6.9,Average,90,Avg. Length Film
2013,The Croods,"Animation, Action, Adventu",7.2,Excellent,98,Avg. Length Film
2013,uwantme2killhim?,"Drama, Thriller",6.3,Average,92,Avg. Length Film
2013,Aftermath,"Crime, Thriller",5.0,Average,84,Avg. Length Film
2013,Prisoners of the Sun,"Action, Adventure, Horror",3.7,Average,85,Avg. Length Film
2013,Syrup,"Comedy, Drama, Romance",5.7,Average,90,Avg. Length Film
2013,Escape from Planet Earth,"Animation, Adventure, Come",5.9,Average,89,Avg. Length Film
2013,Night of the Templar,"Horror, Mystery",6.0,Average,101,Avg. Length Film
2013,Man of Steel,"Action, Adventure, Sci-Fi",7.1,Excellent,143,No Data
2013,Santorini Blue,"Comedy, Drama",4.2,Average,90,Avg. Length Film
2013,The Incredible Burt Wonderstone,Comedy,5.9,Average,100,Avg. Length Film
2013,Dallas Buyers Club,"Biography, Drama",8.0,Excellent,117,Avg. Length Film
2013,R.I.P.D.,"Action, Adventure, Comedy",5.6,Average,96,Avg. Length Film
2013,Scary Movie 5,Comedy,3.5,Average,86,Avg. Length Film
2013,Devil's Knot,"Biography, Crime, Drama",6.1,Average,114,Avg. Length Film
2013,La mula,"Comedy, Drama",5.8,Average,100,Avg. Length Film
2013,The Book Thief,"Drama, War",7.6,Excellent,131,No Data
2013,World War Z,"Action, Adventure, Horror",7.0,Excellent,116,Avg. Length Film
2013,The Power of Few,"Action, Crime, Drama",5.2,Average,96,Avg. Length Film
2013,Approaching Midnight,"Crime, Drama, Romance",4.3,Average,86,Avg. Length Film
2013,Epic,"Animation, Adventure, Fami",6.7,Average,102,Avg. Length Film
2013,Snitch,"Action, Drama, Thriller",6.4,Average,112,Avg. Length Film
2013,Legends of Oz: Dorothy's Return,"Animation, Adventure, Fami",5.1,Average,88,Avg. Length Film
2013,The Wolf of Wall Street,"Biography, Crime, Drama",8.2,Excellent,180,No Data
2013,Legend of the Red Reaper,"Action, Adventure, Fantasy",2.1,Poor,99,Avg. Length Film
2013,The Pardon,Crime,5.6,Average,120,No Data
2013,The Magnificent Eleven,"Comedy, Drama, Sport",3.4,Average,91,Avg. Length Film
2013,Krrish 3,"Action, Sci-Fi",5.2,Average,152,No Data
2013,Robosapien: Rebooted,"Adventure, Drama, Family",4.7,Average,86,Avg. Length Film
2013,Adult World,"Comedy, Drama",6.1,Average,97,Avg. Length Film
2013,The Gauntlet,"Action, Adventure, Horror",6.0,Average,80,Avg. Length Film
2013,House of Good and Evil,Thriller,6.6,Average,108,Avg. Length Film
2013,Lone Survivor,"Action, Biography, Drama",7.5,Excellent,121,No Data
2013,The Colony,"Action, Horror, Sci-Fi",5.3,Average,95,Avg. Length Film
2013,The Love Section,"Comedy, Drama, Romance",5.8,Average,100,Avg. Length Film
2013,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",7.8,Excellent,161,No Data
2013,Baggage Claim,"Comedy, Romance",5.1,Average,96,Avg. Length Film
2013,Jack et la mécanique du coeur,"Animation, Adventure, Dram",7.0,Excellent,94,Avg. Length Film
2013,Blood Shot,"Action, Comedy, Horror",3.3,Average,96,Avg. Length Film
2013,The Necessary Death of Charlie Countryman,"Comedy, Drama, Romance",6.4,Average,103,Avg. Length Film
2013,One Chance,"Biography, Comedy, Drama",6.8,Average,103,Avg. Length Film
2013,Black to the Moon 3D,"Animation, Adventure, Come",3.4,Average,81,Avg. Length Film
2013,Last Vegas,"Comedy, Drama",6.6,Average,105,Avg. Length Film
2013,Mamaros,"Comedy, Drama",5.9,Average,106,Avg. Length Film
2013,Out of the Furnace,"Action, Crime, Drama",6.8,Average,116,Avg. Length Film
2013,The Lone Ranger,"Action, Adventure, Comedy",6.4,Average,150,No Data
2013,Escape Plan,"Action, Thriller",6.7,Average,115,Avg. Length Film
2013,The World's End,"Action, Comedy, Sci-Fi",7.0,Excellent,109,Avg. Length Film
2013,Slightly Single in L.A.,"Comedy, Romance",4.5,Average,88,Avg. Length Film
2013,Anchorman 2: The Legend Continues,Comedy,6.3,Average,119,Avg. Length Film
2013,Broken City,"Crime, Drama, Thriller",6.2,Average,109,Avg. Length Film
2013,Deseo,"Comedy, Drama, Romance",5.5,Average,97,Avg. Length Film
2013,Amazonia,"Adventure, Comedy, Family",6.4,Average,83,Avg. Length Film
2013,This Is the End,Comedy,6.6,Average,107,Avg. Length Film
2013,Paradise,"Comedy, Drama",5.0,Average,86,Avg. Length Film
2013,2 Guns,"Action, Comedy, Thriller",6.7,Average,109,Avg. Length Film
2013,Heterosexual Jill,Comedy,5.3,Average,80,Avg. Length Film
2013,Isolated,"Adventure, Drama, Sport",6.2,Average,85,Avg. Length Film
2013,Wedding Palace,"Comedy, Romance",5.6,Average,98,Avg. Length Film
2013,Evil Dead,"Fantasy, Horror, Thriller",6.5,Average,91,Avg. Length Film
2013,Behind the Candelabra,"Biography, Drama, Music",7.0,Excellent,118,Avg. Length Film
2013,Iron Man Three,"Action, Adventure, Sci-Fi",7.2,Excellent,130,No Data
2013,Blue Dream,Drama,6.6,Average,90,Avg. Length Film
2013,House of Dust,"Horror, Thriller",3.6,Average,90,Avg. Length Film
2013,A.C.O.D.,Comedy,5.6,Average,88,Avg. Length Film
2013,Kill Your Darlings,"Biography, Drama, Romance",6.5,Average,104,Avg. Length Film
2013,Oldboy,"Action, Drama, Mystery",5.7,Average,104,Avg. Length Film
2013,The Lovers,"Action, Adventure, Romance",4.5,Average,109,Avg. Length Film
2013,Gangster Squad,"Action, Crime, Drama",6.7,Average,113,Avg. Length Film
2013,August: Osage County,"Comedy, Drama",7.2,Excellent,121,No Data
2013,The Trials of Cate McCall,"Crime, Drama",6.3,Average,89,Avg. Length Film
2013,The Butler,"Biography, Drama",7.2,Excellent,132,No Data
2013,Movie 43,Comedy,4.3,Average,94,Avg. Length Film
2013,47 Ronin,"Action, Drama, Fantasy",6.2,Average,128,No Data
2013,Cheech & Chong's Animated Movie,"Animation, Comedy",4.7,Average,84,Avg. Length Film
2013,The Great Gatsby,"Drama, Romance",7.3,Excellent,143,No Data
2013,Raptor Ranch,"Action, Adventure, Comedy",3.0,Poor,90,Avg. Length Film
2013,Kung Fu and Titties,"Comedy, Fantasy",3.3,Average,92,Avg. Length Film
2013,Jack the Giant Slayer,"Adventure, Fantasy",6.2,Average,114,Avg. Length Film
2013,W.M.D.,"Action, Thriller, War",4.3,Average,81,Avg. Length Film
2013,Race 2,"Action, Crime, Thriller",5.3,Average,150,No Data
2013,Jimmy,"Drama, Family, Fantasy",6.1,Average,95,Avg. Length Film
2013,The Adventurer: The Curse of the Midas Box,"Adventure, Family, Fantasy",5.4,Average,100,Avg. Length Film
2013,Love Eternal,"Drama, Mystery",6.1,Average,94,Avg. Length Film
2013,The Lost Medallion: The Adventures of Billy Stone,"Adventure, Family, Fantasy",4.8,Average,97,Avg. Length Film
2013,Prisoners,"Crime, Drama, Mystery",8.1,Excellent,153,No Data
2013,Orion,Drama,3.6,Average,92,Avg. Length Film
2013,Star Trek Into Darkness,"Action, Adventure, Sci-Fi",7.7,Excellent,132,No Data
2013,Exit to Hell,"Action, Horror, Thriller",3.5,Average,81,Avg. Length Film
2013,Riddick,"Action, Adventure, Sci-Fi",6.4,Average,119,Avg. Length Film
2013,Paranoia,"Drama, Thriller",5.7,Average,106,Avg. Length Film
2013,Awful Nice,Comedy,4.9,Average,92,Avg. Length Film
2013,The Secret Lives of Dorks,Comedy,5.0,Average,91,Avg. Length Film
2013,Torn,Drama,5.9,Average,80,Avg. Length Film
2013,Black Nativity,"Drama, Family, Music",4.5,Average,93,Avg. Length Film
2013,Lovelace,"Biography, Drama",6.2,Average,93,Avg. Length Film
2013,HairBrained,"Comedy, Drama, Fantasy",5.4,Average,97,Avg. Length Film
2013,The Human Race,"Action, Horror, Sci-Fi",5.2,Average,87,Avg. Length Film
2013,Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",6.1,Average,88,Avg. Length Film
2013,Dark Feed,Horror,3.2,Average,86,Avg. Length Film
2013,The Wolverine,"Action, Adventure, Sci-Fi",6.7,Average,126,No Data
2013,Max Rose,Drama,6.2,Average,83,Avg. Length Film
2013,Under the Skin,"Drama, Horror, Sci-Fi",6.3,Average,108,Avg. Length Film
2013,Filth,"Comedy, Crime, Drama",7.1,Excellent,97,Avg. Length Film
2013,Signals 2,"Action, Sci-Fi, Thriller",4.5,Average,107,Avg. Length Film
2013,Monsters University,"Animation, Adventure, Come",7.3,Excellent,104,Avg. Length Film
2013,Gravity,"Drama, Sci-Fi, Thriller",7.7,Excellent,91,Avg. Length Film
2013,Wu ren qu,"Adventure, Crime, Drama",7.3,Excellent,118,Avg. Length Film
2013,The Haunting in Connecticut 2: Ghosts of Georgia,"Drama, Horror, Mystery",5.3,Average,101,Avg. Length Film
2013,The Conjuring,"Horror, Mystery, Thriller",7.5,Excellent,112,Avg. Length Film
2013,Big Sur,"Drama, Romance",5.8,Average,81,Avg. Length Film
2013,Yi dai zong shi,"Action, Biography, Drama",6.6,Average,130,No Data
2013,All Is Bright,"Comedy, Drama",5.6,Average,107,Avg. Length Film
2013,Decoding Annie Parker,Drama,6.2,Average,91,Avg. Length Film
2013,House of Last Things,"Fantasy, Horror, Thriller",5.8,Average,110,Avg. Length Film
2013,7E,"Drama, Thriller",4.9,Average,80,Avg. Length Film
2013,Zombie Ed,"Comedy, Horror",2.3,Poor,104,Avg. Length Film
2013,Killing Season,"Action, Drama, Thriller",5.4,Average,91,Avg. Length Film
2013,Samuel Bleak,"Drama, Thriller",5.1,Average,96,Avg. Length Film
2013,Oblivion,"Action, Adventure, Sci-Fi",7.0,Excellent,124,No Data
2013,At Middleton,"Comedy, Romance",6.5,Average,99,Avg. Length Film
2013,"No God, No Master","Crime, Drama, History",5.9,Average,94,Avg. Length Film
2013,The F Word,"Comedy, Romance",6.8,Average,98,Avg. Length Film
2013,Khumba,"Animation, Adventure, Fami",5.7,Average,85,Avg. Length Film
2013,Germ,"Action, Drama, Horror",3.7,Average,80,Avg. Length Film
2013,Assassins Run,"Action, Crime, Thriller",4.2,Average,88,Avg. Length Film
2013,Highland Park,"Comedy, Drama",5.5,Average,83,Avg. Length Film
2013,Ass Backwards,"Adventure, Comedy",4.1,Average,85,Avg. Length Film
2013,Walking with the Enemy,"Action, Drama, History",6.3,Average,124,No Data
2013,Sunlight Jr.,Drama,5.6,Average,90,Avg. Length Film
2013,The Host,"Action, Adventure, Drama",5.9,Average,125,No Data
2013,I Think I Do,Comedy,4.8,Average,90,Avg. Length Film
2013,A True Story. Based on Things That Never Actually H,Comedy,5.1,Average,96,Avg. Length Film
2013,Horns,"Crime, Drama, Fantasy",6.5,Average,120,No Data
2013,The Disappearance of Eleanor Rigby: Him,"Drama, Romance",6.9,Average,89,Avg. Length Film
2013,Line of Duty,"Action, Crime, Thriller",5.1,Average,100,Avg. Length Film
2013,Battle of the Year,"Drama, Music",5.0,Average,110,Avg. Length Film
2013,Elysium,"Action, Drama, Sci-Fi",6.6,Average,109,Avg. Length Film
2013,Captain Phillips,"Biography, Drama, Thriller",7.8,Excellent,134,No Data
2013,Wiener Dog Nationals,"Comedy, Family, Sport",5.9,Average,82,Avg. Length Film
2013,Five Thirteen,Drama,4.3,Average,110,Avg. Length Film
2013,Rushlights,"Crime, Drama, Romance",5.9,Average,98,Avg. Length Film
2013,The Mortal Instruments: City of Bones,"Action, Fantasy, Horror",5.9,Average,130,No Data
2013,A Single Shot,"Crime, Drama, Thriller",5.8,Average,116,Avg. Length Film
2013,Knights of Badassdom,"Action, Adventure, Comedy",5.6,Average,86,Avg. Length Film
2013,Are You Here,"Comedy, Drama",5.3,Average,114,Avg. Length Film
2013,The Last Stand,"Action, Thriller",6.3,Average,107,Avg. Length Film
2013,Pawn,"Action, Crime, Mystery",5.7,Average,88,Avg. Length Film
2013,Mary Queen of Scots,"Biography, Drama, History",5.4,Average,119,Avg. Length Film
2013,Beautiful Creatures,"Drama, Fantasy, Romance",6.1,Average,124,No Data
2013,45 Minutes to Ramallah,Comedy,5.7,Average,86,Avg. Length Film
2013,Scavengers,"Action, Sci-Fi, Thriller",2.9,Poor,94,Avg. Length Film
2013,Not Today,Drama,5.7,Average,103,Avg. Length Film
2013,"Tlatelolco, Verano de 68",Drama,6.2,Average,105,Avg. Length Film
2013,Bluebird,Drama,5.8,Average,90,Avg. Length Film
2013,All the Wrong Reasons,"Comedy, Drama",6.1,Average,118,Avg. Length Film
2013,The Perfect House,Horror,4.2,Average,84,Avg. Length Film
2013,Texas Chainsaw 3D,"Horror, Thriller",4.8,Average,92,Avg. Length Film
2013,Mala,"Crime, Thriller",3.5,Average,93,Avg. Length Film
2013,A Birder's Guide to Everything,"Adventure, Comedy, Drama",6.3,Average,86,Avg. Length Film
2013,G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",5.8,Average,110,Avg. Length Film
2013,Dark Space,Sci-Fi,3.7,Average,91,Avg. Length Film
2013,Random Encounters,"Comedy, Romance",4.8,Average,93,Avg. Length Film
2013,Crosshairs,"Action, Drama, Thriller",4.4,Average,120,No Data
2013,Warm Bodies,"Comedy, Horror, Romance",6.9,Average,98,Avg. Length Film
2013,Chlorine,"Comedy, Drama, Family",4.6,Average,93,Avg. Length Film
2013,Mara,"Horror, Mystery, Thriller",3.0,Poor,77,Avg. Length Film
2013,Goat,"Action, Crime",3.8,Average,116,Avg. Length Film
2013,Only God Forgives,"Action, Crime, Drama",5.7,Average,90,Avg. Length Film
2013,A Good Day to Die Hard,"Action, Thriller",5.3,Average,98,Avg. Length Film
2013,House Hunting,"Horror, Mystery, Thriller",5.2,Average,102,Avg. Length Film
2013,The Brides of Sodom,"Fantasy, Horror, Sci-Fi",2.7,Poor,119,Avg. Length Film
2013,Lauf Junge lauf,"Action, Biography, Drama",7.1,Excellent,112,Avg. Length Film
2013,Blue Collar Boys,Action,6.7,Average,93,Avg. Length Film
2013,I'm in Love with a Church Girl,"Crime, Drama, Romance",4.4,Average,118,Avg. Length Film
2013,Free Birds,"Animation, Adventure, Come",5.9,Average,91,Avg. Length Film
2013,The Odd Way Home,Drama,7.0,Excellent,87,Avg. Length Film
2013,Infected,"Action, Horror, Sci-Fi",2.8,Poor,95,Avg. Length Film
2013,Oz the Great and Powerful,"Adventure, Family, Fantasy",6.3,Average,130,No Data
2013,The Cosmonaut,"Drama, Romance, Sci-Fi",4.0,Average,93,Avg. Length Film
2013,Metegol,"Animation, Adventure, Fami",6.5,Average,106,Avg. Length Film
2013,A Farewell to Fools,"Comedy, Drama, War",5.4,Average,85,Avg. Length Film
2013,A Fish Story,Family,6.2,Average,110,Avg. Length Film
2013,Last I Heard,"Comedy, Drama",6.1,Average,98,Avg. Length Film
2013,Justin and the Knights of Valour,"Animation, Adventure, Fami",6.0,Average,90,Avg. Length Film
2013,Louder Than Words,"Drama, Family",6.0,Average,95,Avg. Length Film
2013,The Levenger Tapes,"Horror, Mystery, Thriller",4.3,Average,92,Avg. Length Film
2013,Doonby,"Drama, Mystery",5.8,Average,104,Avg. Length Film
2013,Romeo & Juliet,"Drama, Romance",5.8,Average,113,Avg. Length Film
2013,Deep Dark Canyon,"Action, Drama, Thriller",5.0,Average,90,Avg. Length Film
2013,Vino Veritas,Comedy,6.3,Average,96,Avg. Length Film
2013,Riddle,"Crime, Drama, Mystery",4.1,Average,100,Avg. Length Film
2013,Bloodline,Horror,3.9,Average,88,Avg. Length Film
2013,C.O.G.,"Comedy, Drama",5.6,Average,88,Avg. Length Film
2013,Kick-Ass 2,"Action, Adventure, Comedy",6.5,Average,103,Avg. Length Film
2013,Night Train to Lisbon,"Mystery, Romance, Thriller",6.8,Average,111,Avg. Length Film
2013,Gimme Shelter,Drama,6.5,Average,101,Avg. Length Film
2013,Louis Cyr,"Biography, Drama, History",7.5,Excellent,123,No Data
2013,Spiders 3D,"Action, Adventure, Comedy",3.3,Average,89,Avg. Length Film
2013,The Numbers Station,"Action, Thriller",5.6,Average,89,Avg. Length Film
2013,Grudge Match,"Comedy, Drama, Sport",6.4,Average,113,Avg. Length Film
2013,Nothing Left to Fear,Horror,4.4,Average,100,Avg. Length Film
2013,Life of Crime,"Comedy, Crime",5.8,Average,98,Avg. Length Film
2013,Pacific Rim,"Action, Adventure, Sci-Fi",6.9,Average,131,No Data
2013,Torture Chamber,Horror,2.9,Poor,90,Avg. Length Film
2013,3096 Tage,"Biography, Crime, Drama",6.4,Average,111,Avg. Length Film
2013,Awakened,"Drama, Mystery, Thriller",3.5,Average,107,Avg. Length Film
2013,Rise of the Fellowship,"Adventure, Comedy, Fantasy",4.2,Average,92,Avg. Length Film
2013,Now You See Me,"Crime, Mystery, Thriller",7.3,Excellent,115,Avg. Length Film
2013,After Dark,"Horror, Thriller",4.0,Average,87,Avg. Length Film
2013,Aadhi Bhagavan,Action,5.4,Average,157,No Data
2013,Tante Hilda!,"Animation, Comedy, Family",6.3,Average,89,Avg. Length Film
2013,Birdemic 2: The Resurrection,"Horror, Thriller",1.6,Poor,90,Avg. Length Film
2013,101 ci qiu hun,Romance,5.2,Average,120,No Data
2013,Good Night,"Comedy, Drama",5.7,Average,83,Avg. Length Film
2013,The Wait,"Drama, Thriller",4.7,Average,96,Avg. Length Film
2013,Sucker,"Action, Adventure, Comedy",4.9,Average,79,Avg. Length Film
2013,Murder in the Dark,"Horror, Mystery, Thriller",4.5,Average,82,Avg. Length Film
2013,Intersections,"Action, Romance, Thriller",5.9,Average,101,Avg. Length Film
2013,10.000 noches en ninguna parte,Drama,6.5,Average,113,Avg. Length Film
2013,Stoker,"Drama, Thriller",6.8,Average,99,Avg. Length Film
2013,Welcome to the Punch,"Action, Crime, Thriller",6.1,Average,99,Avg. Length Film
2013,Axe Giant: The Wrath of Paul Bunyan,"Action, Adventure, Comedy",3.5,Average,90,Avg. Length Film
2013,Girl on a Bicycle,"Comedy, Drama, Romance",6.2,Average,101,Avg. Length Film
2013,Despicable Me 2,"Animation, Adventure, Come",7.3,Excellent,98,Avg. Length Film
2013,Return to the Hiding Place,"Drama, History, Thriller",4.8,Average,102,Avg. Length Film
2013,Planes,"Animation, Adventure, Come",5.7,Average,91,Avg. Length Film
2013,A New York Heartbeat,"Crime, Drama, Romance",5.9,Average,95,Avg. Length Film
2013,Educazione siberiana,"Crime, Drama",6.4,Average,110,Avg. Length Film
2013,American Idiots,"Comedy, Romance",2.1,Poor,92,Avg. Length Film
2013,Peeples,"Comedy, Romance",5.3,Average,95,Avg. Length Film
2013,The Invisible Woman,"Biography, Drama, History",6.1,Average,111,Avg. Length Film
2013,Safe Haven,"Drama, Romance, Thriller",6.7,Average,115,Avg. Length Film
2013,From the Rough,"Drama, Sport",6.7,Average,97,Avg. Length Film
2013,Tarzan,"Animation, Adventure, Dram",4.8,Average,94,Avg. Length Film
2013,Snowpiercer,"Action, Drama, Sci-Fi",7.1,Excellent,126,No Data
2013,The Last Days on Mars,"Adventure, Horror, Sci-Fi",5.5,Average,98,Avg. Length Film
2013,Meth Head,Drama,5.6,Average,108,Avg. Length Film
2013,Ismael,Drama,6.3,Average,106,Avg. Length Film
2013,Seasons of Gray,Drama,6.7,Average,90,Avg. Length Film
2013,21 & Over,Comedy,5.8,Average,93,Avg. Length Film
2013,The Spectacular Now,"Comedy, Drama, Romance",7.1,Excellent,95,Avg. Length Film
2013,Drift,"Biography, Drama, Sport",6.3,Average,113,Avg. Length Film
2013,Only Lovers Left Alive,"Comedy, Drama, Fantasy",7.3,Excellent,123,No Data
2013,Anna,"Drama, Mystery, Sci-Fi",6.5,Average,99,Avg. Length Film
2013,The Last Keepers,"Family, Fantasy",5.5,Average,85,Avg. Length Film
2013,Caníbal,"Drama, Romance, Thriller",5.8,Average,116,Avg. Length Film
2013,Snake & Mongoose,Sport,5.7,Average,102,Avg. Length Film
2013,AmeriQua,Comedy,4.1,Average,103,Avg. Length Film
2013,We're the Millers,"Comedy, Crime",7.0,Excellent,110,Avg. Length Film
2013,Innocence,"Fantasy, Horror, Mystery",4.6,Average,96,Avg. Length Film
2013,Duke,Drama,5.0,Average,107,Avg. Length Film
2013,The Way Way Back,"Comedy, Drama",7.4,Excellent,103,Avg. Length Film
2013,Sugar,Drama,5.8,Average,88,Avg. Length Film
2013,Gone Missing,"Adventure, Crime, Drama",5.4,Average,90,Avg. Length Film
2013,Ender's Game,"Action, Adventure, Fantasy",6.6,Average,114,Avg. Length Film
2013,Die Frau des Polizisten,Drama,6.2,Average,175,No Data
2013,Pulp,Comedy,7.0,Excellent,94,Avg. Length Film
2013,5 Souls,"Horror, Thriller",3.4,Average,79,Avg. Length Film
2013,Gemini Rising,"Action, Sci-Fi, Thriller",3.1,Average,93,Avg. Length Film
2013,Pawn Shop Chronicles,"Action, Comedy, Crime",5.9,Average,112,Avg. Length Film
2013,Peace and Riot,Comedy,4.0,Average,88,Avg. Length Film
2013,Blood Ties,"Action, Crime, Drama",6.5,Average,127,No Data
2013,Brother's Keeper,Drama,5.0,Average,118,Avg. Length Film
2013,Detour,"Horror, Romance, Thriller",5.3,Average,87,Avg. Length Film
2013,Ferocious,Thriller,4.3,Average,93,Avg. Length Film
2013,Shame the Devil,"Crime, Horror, Thriller",3.5,Average,94,Avg. Length Film
2013,Motivational Growth,"Comedy, Drama, Fantasy",5.7,Average,104,Avg. Length Film
2013,The Sea,Drama,5.9,Average,86,Avg. Length Film
2013,InAPPropriate Comedy,Comedy,2.8,Poor,83,Avg. Length Film
2013,Being Us,Drama,5.5,Average,106,Avg. Length Film
2013,Worms,"Animation, Adventure, Fami",4.6,Average,80,Avg. Length Film
2013,Paranormal Whacktivity,"Comedy, Horror",2.3,Poor,89,Avg. Length Film
2013,Diana,"Biography, Drama, Romance",5.5,Average,113,Avg. Length Film
2013,The To Do List,"Comedy, Romance",5.8,Average,104,Avg. Length Film
2013,Walking with Dinosaurs 3D,"Animation, Adventure, Fami",5.2,Average,87,Avg. Length Film
2013,Stripped,"Comedy, Horror, Thriller",3.9,Average,80,Avg. Length Film
2013,The Forbidden Girl,"Fantasy, Horror, Mystery",3.4,Average,106,Avg. Length Film
2013,The Door,"Horror, Thriller",5.3,Average,89,Avg. Length Film
2013,Trap for Cinderella,"Crime, Drama, Mystery",5.6,Average,100,Avg. Length Film
2013,Odd Thomas,"Comedy, Fantasy, Horror",6.8,Average,97,Avg. Length Film
2013,Djinn,"Horror, Thriller",4.4,Average,82,Avg. Length Film
2013,Dragon Day,"Drama, Sci-Fi, Thriller",3.9,Average,95,Avg. Length Film
2013,Noise Matters,"Comedy, Drama, Music",7.2,Excellent,88,Avg. Length Film
2013,Esclavo de Dios,Thriller,6.6,Average,91,Avg. Length Film
2013,Separation,Thriller,4.9,Average,81,Avg. Length Film
2013,Singularity Principle,Sci-Fi,5.1,Average,87,Avg. Length Film
2013,Rüzgarlar,Drama,4.8,Average,117,Avg. Length Film
2013,Slew Hampshire,"Drama, Horror, Thriller",4.4,Average,103,Avg. Length Film
2013,The Ultimate Life,"Drama, Romance",5.8,Average,105,Avg. Length Film
2013,Vikingdom,"Action, Adventure, Fantasy",3.3,Average,114,Avg. Length Film
2013,CBGB,"Drama, Music",6.6,Average,102,Avg. Length Film
2013,Doggie Boogie - Get Your Grrr On!,Family,3.1,Average,88,Avg. Length Film
2013,Tôkyô kazoku,Drama,7.5,Excellent,146,No Data
2013,Savannah,"Drama, Family, History",5.8,Average,101,Avg. Length Film
2013,Banklady,"Action, Biography, Crime",6.3,Average,118,Avg. Length Film
2013,This Is Martin Bonner,Drama,6.5,Average,83,Avg. Length Film
2013,Her,"Drama, Romance, Sci-Fi",8.0,Excellent,126,No Data
2013,Alone,"Horror, Mystery, Thriller",3.4,Average,84,Avg. Length Film
2013,American Hustle,"Crime, Drama",7.2,Excellent,138,No Data
2013,Remnants,"Action, Drama, Sci-Fi",3.9,Average,94,Avg. Length Film
2013,Something Real and Good,Drama,6.0,Average,82,Avg. Length Film
2013,As I Lay Dying,Drama,5.4,Average,110,Avg. Length Film
2013,Not Another Happy Ending,"Comedy, Drama, Romance",6.2,Average,102,Avg. Length Film
2013,Syberiada polska,"Drama, History, Romance",4.8,Average,125,No Data
2013,Tajemnica Westerplatte,"Drama, History, War",4.9,Average,118,Avg. Length Film
2013,5.5.5,"Drama, Sci-Fi, Thriller",6.1,Average,126,No Data
2013,Burning Blue,"Biography, Drama, Romance",6.1,Average,96,Avg. Length Film
2013,A Haunting at Silver Falls,"Horror, Thriller",4.8,Average,96,Avg. Length Film
2013,Admission,"Comedy, Drama, Romance",5.7,Average,107,Avg. Length Film
2013,Gerontophilia,"Comedy, Romance",6.3,Average,82,Avg. Length Film
2013,After Earth,"Action, Adventure, Drama",4.8,Average,100,Avg. Length Film
2013,Another Me,"Mystery, Thriller",4.7,Average,86,Avg. Length Film
2013,A Case of You,"Comedy, Romance",5.6,Average,89,Avg. Length Film
2013,A Resurrection,"Horror, Thriller",3.9,Average,89,Avg. Length Film
2013,Miss Dial,Comedy,6.1,Average,88,Avg. Length Film
2013,Family Weekend,"Comedy, Drama",6.3,Average,105,Avg. Length Film
2013,Nebraska,"Adventure, Comedy, Drama",7.7,Excellent,115,Avg. Length Film
2013,Stag,Comedy,3.9,Average,84,Avg. Length Film
2013,The Congress,"Animation, Drama, Sci-Fi",6.5,Average,122,No Data
